sim	N	mat_dist	comp_dist	disp_fun	disp_dist	rep	ngen
1	2000	0.5	0.2	brownian	1	1	50
2	2000	1	0.2	brownian	1	1	50
3	2000	2	0.2	brownian	1	1	50
4	2000	5	0.2	brownian	1	1	50
5	2000	10	0.2	brownian	1	1	50
