sim	N	mat_dist	comp_dist	disp_fun	disp_dist	rep	ngen
1	200	0.2	0.2	brownian	1	1	1000
2	200	0.5	0.2	brownian	1	1	1000
3	200	1	0.2	brownian	1	1	1000
4	200	2	0.2	brownian	1	1	1000
5	200	5	0.2	brownian	1	1	1000
6	200	0.2	0.2	cauchy	1	1	1000
7	200	0.5	0.2	cauchy	1	1	1000
8	200	1	0.2	cauchy	1	1	1000
9	200	2	0.2	cauchy	1	1	1000
10	200	5	0.2	cauchy	1	1	1000
11	200	0.2	0.2	brownian	2	1	1000
12	200	0.5	0.2	brownian	2	1	1000
13	200	1	0.2	brownian	2	1	1000
14	200	2	0.2	brownian	2	1	1000
15	200	5	0.2	brownian	2	1	1000
16	200	0.2	0.2	cauchy	2	1	1000
17	200	0.5	0.2	cauchy	2	1	1000
18	200	1	0.2	cauchy	2	1	1000
19	200	2	0.2	cauchy	2	1	1000
20	200	5	0.2	cauchy	2	1	1000
21	200	0.2	0.2	brownian	1	2	1000
22	200	0.5	0.2	brownian	1	2	1000
23	200	1	0.2	brownian	1	2	1000
24	200	2	0.2	brownian	1	2	1000
25	200	5	0.2	brownian	1	2	1000
26	200	0.2	0.2	cauchy	1	2	1000
27	200	0.5	0.2	cauchy	1	2	1000
28	200	1	0.2	cauchy	1	2	1000
29	200	2	0.2	cauchy	1	2	1000
30	200	5	0.2	cauchy	1	2	1000
31	200	0.2	0.2	brownian	2	2	1000
32	200	0.5	0.2	brownian	2	2	1000
33	200	1	0.2	brownian	2	2	1000
34	200	2	0.2	brownian	2	2	1000
35	200	5	0.2	brownian	2	2	1000
36	200	0.2	0.2	cauchy	2	2	1000
37	200	0.5	0.2	cauchy	2	2	1000
38	200	1	0.2	cauchy	2	2	1000
39	200	2	0.2	cauchy	2	2	1000
40	200	5	0.2	cauchy	2	2	1000
41	200	0.2	0.2	brownian	1	3	1000
42	200	0.5	0.2	brownian	1	3	1000
43	200	1	0.2	brownian	1	3	1000
44	200	2	0.2	brownian	1	3	1000
45	200	5	0.2	brownian	1	3	1000
46	200	0.2	0.2	cauchy	1	3	1000
47	200	0.5	0.2	cauchy	1	3	1000
48	200	1	0.2	cauchy	1	3	1000
49	200	2	0.2	cauchy	1	3	1000
50	200	5	0.2	cauchy	1	3	1000
51	200	0.2	0.2	brownian	2	3	1000
52	200	0.5	0.2	brownian	2	3	1000
53	200	1	0.2	brownian	2	3	1000
54	200	2	0.2	brownian	2	3	1000
55	200	5	0.2	brownian	2	3	1000
56	200	0.2	0.2	cauchy	2	3	1000
57	200	0.5	0.2	cauchy	2	3	1000
58	200	1	0.2	cauchy	2	3	1000
59	200	2	0.2	cauchy	2	3	1000
60	200	5	0.2	cauchy	2	3	1000
61	200	0.2	0.2	brownian	1	4	1000
62	200	0.5	0.2	brownian	1	4	1000
63	200	1	0.2	brownian	1	4	1000
64	200	2	0.2	brownian	1	4	1000
65	200	5	0.2	brownian	1	4	1000
66	200	0.2	0.2	cauchy	1	4	1000
67	200	0.5	0.2	cauchy	1	4	1000
68	200	1	0.2	cauchy	1	4	1000
69	200	2	0.2	cauchy	1	4	1000
70	200	5	0.2	cauchy	1	4	1000
71	200	0.2	0.2	brownian	2	4	1000
72	200	0.5	0.2	brownian	2	4	1000
73	200	1	0.2	brownian	2	4	1000
74	200	2	0.2	brownian	2	4	1000
75	200	5	0.2	brownian	2	4	1000
76	200	0.2	0.2	cauchy	2	4	1000
77	200	0.5	0.2	cauchy	2	4	1000
78	200	1	0.2	cauchy	2	4	1000
79	200	2	0.2	cauchy	2	4	1000
80	200	5	0.2	cauchy	2	4	1000
81	200	0.2	0.2	brownian	1	5	1000
82	200	0.5	0.2	brownian	1	5	1000
83	200	1	0.2	brownian	1	5	1000
84	200	2	0.2	brownian	1	5	1000
85	200	5	0.2	brownian	1	5	1000
86	200	0.2	0.2	cauchy	1	5	1000
87	200	0.5	0.2	cauchy	1	5	1000
88	200	1	0.2	cauchy	1	5	1000
89	200	2	0.2	cauchy	1	5	1000
90	200	5	0.2	cauchy	1	5	1000
91	200	0.2	0.2	brownian	2	5	1000
92	200	0.5	0.2	brownian	2	5	1000
93	200	1	0.2	brownian	2	5	1000
94	200	2	0.2	brownian	2	5	1000
95	200	5	0.2	brownian	2	5	1000
96	200	0.2	0.2	cauchy	2	5	1000
97	200	0.5	0.2	cauchy	2	5	1000
98	200	1	0.2	cauchy	2	5	1000
99	200	2	0.2	cauchy	2	5	1000
100	200	5	0.2	cauchy	2	5	1000
