sim	N	mat_dist	comp_dist	disp_fun	disp_dist	rep	ngen
1	100	2	0	brownian	1	1	50
2	100	5	0	brownian	1	1	50
3	100	10	0	brownian	1	1	50
4	100	1000	0	brownian	1	1	50
5	100	2	0.2	brownian	1	1	50
6	100	5	0.2	brownian	1	1	50
7	100	10	0.2	brownian	1	1	50
8	100	1000	0.2	brownian	1	1	50
9	100	2	20	brownian	1	1	50
10	100	5	20	brownian	1	1	50
11	100	10	20	brownian	1	1	50
12	100	1000	20	brownian	1	1	50
13	100	2	40	brownian	1	1	50
14	100	5	40	brownian	1	1	50
15	100	10	40	brownian	1	1	50
16	100	1000	40	brownian	1	1	50
17	100	2	0	normal	1	1	50
18	100	5	0	normal	1	1	50
19	100	10	0	normal	1	1	50
20	100	1000	0	normal	1	1	50
21	100	2	0.2	normal	1	1	50
22	100	5	0.2	normal	1	1	50
23	100	10	0.2	normal	1	1	50
24	100	1000	0.2	normal	1	1	50
25	100	2	20	normal	1	1	50
26	100	5	20	normal	1	1	50
27	100	10	20	normal	1	1	50
28	100	1000	20	normal	1	1	50
29	100	2	40	normal	1	1	50
30	100	5	40	normal	1	1	50
31	100	10	40	normal	1	1	50
32	100	1000	40	normal	1	1	50
33	100	2	0	cauchy	1	1	50
34	100	5	0	cauchy	1	1	50
35	100	10	0	cauchy	1	1	50
36	100	1000	0	cauchy	1	1	50
37	100	2	0.2	cauchy	1	1	50
38	100	5	0.2	cauchy	1	1	50
39	100	10	0.2	cauchy	1	1	50
40	100	1000	0.2	cauchy	1	1	50
41	100	2	20	cauchy	1	1	50
42	100	5	20	cauchy	1	1	50
43	100	10	20	cauchy	1	1	50
44	100	1000	20	cauchy	1	1	50
45	100	2	40	cauchy	1	1	50
46	100	5	40	cauchy	1	1	50
47	100	10	40	cauchy	1	1	50
48	100	1000	40	cauchy	1	1	50
49	100	2	0	exponential	1	1	50
50	100	5	0	exponential	1	1	50
51	100	10	0	exponential	1	1	50
52	100	1000	0	exponential	1	1	50
53	100	2	0.2	exponential	1	1	50
54	100	5	0.2	exponential	1	1	50
55	100	10	0.2	exponential	1	1	50
56	100	1000	0.2	exponential	1	1	50
57	100	2	20	exponential	1	1	50
58	100	5	20	exponential	1	1	50
59	100	10	20	exponential	1	1	50
60	100	1000	20	exponential	1	1	50
61	100	2	40	exponential	1	1	50
62	100	5	40	exponential	1	1	50
63	100	10	40	exponential	1	1	50
64	100	1000	40	exponential	1	1	50
65	100	2	0	uniform	1	1	50
66	100	5	0	uniform	1	1	50
67	100	10	0	uniform	1	1	50
68	100	1000	0	uniform	1	1	50
69	100	2	0.2	uniform	1	1	50
70	100	5	0.2	uniform	1	1	50
71	100	10	0.2	uniform	1	1	50
72	100	1000	0.2	uniform	1	1	50
73	100	2	20	uniform	1	1	50
74	100	5	20	uniform	1	1	50
75	100	10	20	uniform	1	1	50
76	100	1000	20	uniform	1	1	50
77	100	2	40	uniform	1	1	50
78	100	5	40	uniform	1	1	50
79	100	10	40	uniform	1	1	50
80	100	1000	40	uniform	1	1	50
81	100	2	0	brownian	2	1	50
82	100	5	0	brownian	2	1	50
83	100	10	0	brownian	2	1	50
84	100	1000	0	brownian	2	1	50
85	100	2	0.2	brownian	2	1	50
86	100	5	0.2	brownian	2	1	50
87	100	10	0.2	brownian	2	1	50
88	100	1000	0.2	brownian	2	1	50
89	100	2	20	brownian	2	1	50
90	100	5	20	brownian	2	1	50
91	100	10	20	brownian	2	1	50
92	100	1000	20	brownian	2	1	50
93	100	2	40	brownian	2	1	50
94	100	5	40	brownian	2	1	50
95	100	10	40	brownian	2	1	50
96	100	1000	40	brownian	2	1	50
97	100	2	0	normal	2	1	50
98	100	5	0	normal	2	1	50
99	100	10	0	normal	2	1	50
100	100	1000	0	normal	2	1	50
101	100	2	0.2	normal	2	1	50
102	100	5	0.2	normal	2	1	50
103	100	10	0.2	normal	2	1	50
104	100	1000	0.2	normal	2	1	50
105	100	2	20	normal	2	1	50
106	100	5	20	normal	2	1	50
107	100	10	20	normal	2	1	50
108	100	1000	20	normal	2	1	50
109	100	2	40	normal	2	1	50
110	100	5	40	normal	2	1	50
111	100	10	40	normal	2	1	50
112	100	1000	40	normal	2	1	50
113	100	2	0	cauchy	2	1	50
114	100	5	0	cauchy	2	1	50
115	100	10	0	cauchy	2	1	50
116	100	1000	0	cauchy	2	1	50
117	100	2	0.2	cauchy	2	1	50
118	100	5	0.2	cauchy	2	1	50
